threshold,improved_macro_f05,improved_macro_precision,improved_macro_recall,improved_singleton_accuracy,improved_false_merges,improved_missed_matches,baseline_macro_f05,baseline_macro_precision,baseline_macro_recall
0.1,0.3601,0.4139,0.8119,0.2065,15418,6893,0.2717,0.3199,0.8071
0.12,0.3605,0.4144,0.8119,0.2083,15399,6894,0.2748,0.3231,0.8046
0.14,0.3609,0.4148,0.8119,0.2101,15386,6895,0.2784,0.3269,0.8023
0.16,0.3611,0.4151,0.8119,0.2101,15378,6897,0.282,0.3309,0.798
0.18,0.3614,0.4155,0.8118,0.211,15365,6900,0.2863,0.3355,0.7939
0.2,0.3616,0.4156,0.8118,0.211,15360,6900,0.2911,0.3411,0.7891
0.22,0.3617,0.4158,0.8118,0.2118,15352,6902,0.2986,0.3499,0.7811
0.24,0.3619,0.416,0.8118,0.2118,15348,6902,0.3127,0.365,0.7752
0.26,0.362,0.4161,0.8118,0.2118,15344,6904,0.3335,0.3883,0.7667
0.28,0.3621,0.4162,0.8118,0.2118,15339,6904,0.3655,0.4219,0.7658
0.3,0.3622,0.4164,0.8117,0.2127,15333,6905,0.4086,0.4678,0.7649
0.32,0.3624,0.4166,0.8117,0.2136,15329,6905,0.4597,0.5234,0.7633
0.34,0.3625,0.4168,0.8117,0.2136,15320,6910,0.5144,0.5857,0.7613
0.36,0.3626,0.4169,0.8116,0.2145,15315,6913,0.5639,0.6443,0.759
0.38,0.3627,0.417,0.8116,0.2145,15315,6915,0.609,0.7001,0.7557
0.4,0.3628,0.417,0.8115,0.2145,15313,6920,0.6508,0.7533,0.7522
0.42,0.3628,0.4171,0.8115,0.2145,15312,6921,0.6869,0.8011,0.748
0.44,0.3629,0.4172,0.8115,0.2145,15309,6923,0.7147,0.8397,0.7434
0.46,0.363,0.4173,0.8114,0.2145,15304,6924,0.7411,0.8769,0.738
0.48,0.3631,0.4174,0.8114,0.2145,15301,6927,0.7633,0.9106,0.7318
0.5,0.3632,0.4175,0.8113,0.2154,15297,6936,0.7777,0.9344,0.7253
0.52,0.3632,0.4176,0.8113,0.2154,15296,6938,0.7875,0.9528,0.7168
0.54,0.3633,0.4177,0.8112,0.2154,15290,6942,0.7926,0.9662,0.707
0.56,0.3634,0.4179,0.8112,0.2154,15285,6944,0.793,0.9757,0.6945
0.58,0.3635,0.418,0.811,0.2154,15281,6949,0.7915,0.9827,0.6814
0.6,0.3636,0.4181,0.8108,0.2154,15276,6962,0.7872,0.988,0.6675
0.62,0.364,0.4187,0.8106,0.2163,15268,6973,0.7789,0.9915,0.6494
0.64,0.3657,0.4203,0.8098,0.2181,15255,7008,0.7683,0.9937,0.6296
0.66,0.4043,0.4659,0.7689,0.2406,14762,8340,0.7551,0.9945,0.6077
0.68,0.4044,0.466,0.7689,0.2406,14759,8340,0.7385,0.9955,0.5825
0.7,0.4045,0.4661,0.7689,0.2415,14756,8341,0.7164,0.9976,0.5493
0.72,0.4046,0.4662,0.7689,0.2415,14753,8344,0.6913,0.9981,0.516
0.74,0.4047,0.4663,0.7688,0.2415,14748,8348,0.6601,0.9983,0.4786
0.76,0.4047,0.4665,0.7687,0.2415,14742,8351,0.62,0.9987,0.434
0.78,0.4049,0.4666,0.7687,0.2424,14738,8357,0.5773,0.9992,0.3917
0.8,0.405,0.4668,0.7687,0.2424,14731,8359,0.5261,0.9994,0.3468
0.82,0.405,0.4669,0.7686,0.2424,14727,8366,0.4685,0.9996,0.3001
0.84,0.4052,0.467,0.7685,0.2424,14724,8369,0.4138,0.9997,0.2582
0.86,0.4052,0.4672,0.7684,0.2424,14721,8375,0.3476,0.9999,0.2134
0.88,0.4054,0.4674,0.7683,0.2433,14714,8377,0.2856,1.0,0.1746
0.9,0.4056,0.4677,0.7682,0.2451,14702,8387,0.2343,1.0,0.1451
0.92,0.4058,0.4679,0.7679,0.2451,14692,8401,0.1848,1.0,0.1188
0.94,0.4062,0.4684,0.7676,0.2451,14682,8416,0.1377,1.0,0.0947
