s1_id,name,addr,country,pred_cid,cand_name,cand_addr,score,num_candidates,error_type
S1-10093090,lucky bakery,751 lazy point road  east hampton  ny,US,S3-476720239,lucky  bakery,,0.7823,47,approx_name_match
S1-101439168,back alley bike shop,benicia  2138 clearview circle  ca,US,S2-554201648,back alley bike shop,1029  dunedin rd  columbus  oh,0.79,37,same_name_different_addr
S1-101544027,highland precision pembina inc,2988 moorland road  city of new berlin  wi,US,S2-794227791,highland precision pembina ltd,2997 moorland rd  city of new berlin  wi,0.5422,24,approx_name_match
S1-103734817,colonial alliance vi,27467 flynn creek drive  barrington  il,US,S3-908637894,colonial alliance vi inc,illinois  barrington  27488 flynn creke dr,0.7983,1,approx_name_match
S1-104526850,cascade committee,geneseo  111 main street  il,US,S2-37572914,cascade committee,6181 scheider rd  freeport  il,0.8067,24,same_name_different_addr
S1-105165625,eg soulpower llc,3720 kenzie court  morehead city  nc,US,S2-784797080,eg soulpower co,morehead city  nc  3741 1 2 kenzie ct,0.8192,97,approx_name_match
S1-105501417,creative quality cloud,19 redwood lane  springfield  il,US,S2-452045550,creative quality cloud   llc,32 redwood lane  springfield  il,0.5611,1,approx_name_match
S1-1061372,davis veterinary clinic,ny  warwick  402 pulaski highway,US,S2-692319715,davis veterinary clinic,273 south road  poughkeepsie  ny,0.8067,5,same_name_different_addr
S1-10675425,thomas entertainment inc,59 sequoia drive  timberlake  nc,US,S2-980034393,thomas entertainment holdings,timberlake  72 sequoia dr  nc,0.8593,1,approx_name_match
S1-106771245,main street tattoo,115 myrtle acres lane  crossville  tn,US,S2-873485599,main street tattoo,hillside st  null  baileyville  me,0.79,26,same_name_different_addr
S1-107430440,american foundation,801 cedar street  charlotte  nc,US,S2-433728808,american foundation,,0.79,21,same_name_different_addr
S1-107638904,capital academy,309 quintard avenue  anniston  al,US,S2-864367855,capital academy,me   null   765a roosevelt trail  windham,0.79,22,same_name_different_addr
S1-108147752,regional coalition llc,139 sequams lane  islip  ny,US,S2-347480573,regional coalition llc,scott place  bronx  ny,0.8088,37,same_name_different_addr
