threshold,macro_f05,precision,recall,singleton_accuracy_pct,false_merges,missed_matches
0.1,0.8485,0.9589,0.7641,89.97,682,5122
0.2,0.8528,0.9651,0.764,90.27,556,5125
0.3,0.8546,0.9682,0.7638,90.86,497,5129
0.4,0.8558,0.9701,0.7637,91.45,465,5131
0.45,0.8566,0.9713,0.7636,91.74,444,5133
0.5,0.8575,0.9726,0.7636,92.33,423,5134
0.52,0.8578,0.9729,0.7635,92.33,415,5135
0.54,0.8578,0.9733,0.7635,92.33,410,5137
0.56,0.8581,0.9738,0.7634,92.63,403,5139
0.58,0.8579,0.9743,0.7626,92.63,392,5154
0.6,0.8582,0.9747,0.7625,92.92,385,5158
0.65,0.8605,0.9806,0.7606,93.81,287,5197
0.7,0.8619,0.9847,0.7584,94.99,225,5247
0.75,0.862,0.9866,0.7574,94.99,201,5268
0.8,0.8624,0.9886,0.7565,95.28,174,5286
0.85,0.8627,0.9907,0.7547,95.58,136,5324
0.87,0.8633,0.9925,0.7539,96.76,114,5346
0.88,0.8636,0.9929,0.7537,97.05,108,5350
0.89,0.8634,0.9931,0.7533,97.05,103,5358
0.9,0.8635,0.9936,0.7526,97.35,95,5371
0.9,0.8635,0.9936,0.7526,97.35,95,5371
0.91,0.8631,0.994,0.7519,97.35,89,5383
0.92,0.8631,0.9943,0.7514,97.35,81,5392
0.93,0.8628,0.9947,0.7508,97.35,76,5406
