error_type,source1_id,candidate_id,s1_name,cand_name,s1_address,cand_address,error_category
FALSE_MERGE (FP),S1-925783039,S3-376651486,Orelee's Barbershop,"Jonis R. Magana,","1795 Westchester Drive, High Point, NC","New York, Riverhead, 1795 Main Rd",Near-Duplicate Name / Brand Cousin
FALSE_MERGE (FP),S1-925783039,S2-62226755,Orelee's Barbershop,Prather  Jewelers,"1795 Westchester Drive, High Point, NC","1795 E RIVER RD, FORK UNIOON, VA",Near-Duplicate Name / Brand Cousin
FALSE_MERGE (FP),S1-925783039,S2-913121485,Orelee's Barbershop,Fenet Inc,"1795 Westchester Drive, High Point, NC","1795 CENTER RD, BUFFALO CITY, NY",Near-Duplicate Name / Brand Cousin
FALSE_MERGE (FP),S1-925783039,S3-20318007,Orelee's Barbershop,Economic Development Gúild IV,"1795 Westchester Drive, High Point, NC","1795-1797 Crowne Dr, # Apt 207, Fayetteville, Arkansas",Near-Duplicate Name / Brand Cousin
FALSE_MERGE (FP),S1-925783039,S3-573472427,Orelee's Barbershop,Office of Motor,"1795 Westchester Drive, High Point, NC","Click Street, PMB 1795, Weebr CITY, Virginia",Near-Duplicate Name / Brand Cousin
FALSE_MERGE (FP),S1-925783039,S3-605007294,Orelee's Barbershop,Monrifty  Ses LLC,"1795 Westchester Drive, High Point, NC","1795-1799 Mt Springs Road, Cabot, Arkansas",Near-Duplicate Name / Brand Cousin
FALSE_MERGE (FP),S1-925783039,S2-362279290,Orelee's Barbershop,"Jonis R. Magana, D.C.","1795 Westchester Drive, High Point, NC","JAMESPORT, NY, 1795-D MAIN RD",Near-Duplicate Name / Brand Cousin
FALSE_MERGE (FP),S1-925783039,S2-266142020,Orelee's Barbershop,MONTIFY SES  LLC,"1795 Westchester Drive, High Point, NC","##1795 MT SPRINGS RD, CABOT, AR",Near-Duplicate Name / Brand Cousin
FALSE_MERGE (FP),S1-925783039,S3-582934402,Orelee's Barbershop,"jonis r. magana, d.c.","1795 Westchester Drive, High Point, NC","1795 Main Road, Riverhead, New York",Near-Duplicate Name / Brand Cousin
FALSE_MERGE (FP),S1-925783039,S2-868914640,Orelee's Barbershop,North Prairie Bruetndhc,"1795 Westchester Drive, High Point, NC","1795 1440, OGDEN CITY, UT",Near-Duplicate Name / Brand Cousin
FALSE_MERGE (FP),S1-377745466,S3-237773836,B+ Retail Inc,Bright (Pilates),"1712 Montebello Avenue, Phoenix, AZ","1712-A Edinburg Ct, ALLN, Texas",Near-Duplicate Name / Brand Cousin
FALSE_MERGE (FP),S1-377745466,S2-954237935,B+ Retail Inc,Hernandez Airport-Legacy Corp,"1712 Montebello Avenue, Phoenix, AZ","1712 HOLLOW OAK COURT, BLACKSBURG TOWN, VA",Near-Duplicate Name / Brand Cousin
FALSE_MERGE (FP),S1-377745466,S2-210403389,B+ Retail Inc,-- Empire Advanced Airport,"1712 Montebello Avenue, Phoenix, AZ","1712 BROOKWOOD DRIVE, WINSTON-SALEM, NC",Near-Duplicate Name / Brand Cousin
FALSE_MERGE (FP),S1-377745466,S2-670697535,B+ Retail Inc,(LLC) Frontier Anua,"1712 Montebello Avenue, Phoenix, AZ","1712 FROSTY HOLLOW ROAD, WAKE FOREST, NC",Near-Duplicate Name / Brand Cousin
